park_id,name_en,address_en,district,latitude,longitude,height_limit,opening_status,website,phone
tdc14p5137,Po Lam Car Park,"Po Lam Shopping Centre, 18 Po Lam Road North, Tseung Kwan O, New Territories",Sai Kung,22.326221,114.25467,2,OPEN,https://www.linkhk.com/en/parking/5137,5487 7944
tdc14p5419,Nam Cheong Place Car Park,"Nam Cheong Place, 19 Sai Chuen Road, Sham Shui Po, Kowloon",Sham Shui Po,22.328976570126,114.1532886976,2.4,OPEN,https://www.linkhk.com/en/parking/5419,5487 7944
tdc14p5421,Nam Cheong Car Park,"Nam Cheong Estate Retail and Car Park, 3 Cheong San Lane, Sham Shui Po, Kowloon",Sham Shui Po,22.326358,114.157698,2.3,OPEN,https://www.linkhk.com/en/parking/5421,5487 7944
tdc14p5528,Chuk Yuen (S) Car Park,"Chuk Yuen Plaza, 15 Chuk Yuen Road, Wong Tai Sin, Kowloon",Wong Tai Sin,22.343953486396,114.19416481732,2,OPEN,https://www.linkhk.com/en/parking/5528,5487 7944
tdc14p5532,Temple Mall North Car Park,"Temple Mall North, 136 Lung Cheung Road, Wong Tai Sin, Kowloon",Wong Tai Sin,22.342304845377,114.19066436837,2.4,OPEN,https://www.linkhk.com/en/parking/5532,5487 7944
tdc14p5534,Temple Mall South Car Park A,"Temple Mall South, 103 Ching Tak Street, Wong Tai Sin, Kowloon",Wong Tai Sin,22.340977450695,114.19529245145,2,OPEN,https://www.linkhk.com/en/parking/5534,5487 7944
tdc14p5535,Temple Mall South Car Park B,"Temple Mall South, 103 Ching Tak Street, Wong Tai Sin, Kowloon",Wong Tai Sin,22.341282,114.19403,1.9,OPEN,https://www.linkhk.com/en/parking/5535,5487 7944
tdc14p5727,Yin Lai Car Park,"Yin Lai Court Shopping Centre, 180 Lai King Hill Road, Kwai Chung, New Territories",Kwai Tsing,22.348750887622,114.12631360606,2,OPEN,https://www.linkhk.com/en/parking/5727,2117 7076
tdc14p5904,Ying Fuk Car Park,"Ying Fuk Court Retail and Car Park, 17 Wing Chuk Street, Wong Tai Sin, Kowloon",Wong Tai Sin,22.346504109294,114.19550638361,2.4,OPEN,https://www.linkhk.com/en/parking/5904,5487 7944
tdc14p6401,Stanley Plaza Car Park,"Stanley Plaza, 23 Carmel Road, Stanley, Hong Kong",Southern,22.220116196596,114.20920645248,2.2,OPEN,https://www.linkhk.com/en/parking/6401,2117 7076
tdc14p6601,Sau Mau Ping Shopping Centre Car Park,"Sau Mau Ping Shopping Centre, 101 Sau Ming Road, Sau Mau Ping, Kwun Tong, Kowloon",Kwun Tong,22.320031,114.232278,2.4,OPEN,https://www.linkhk.com/en/parking/6601,5487 7944
tdc14p6602,Sau Mau Ping Phase 15 Car Park,"Sau Mau Ping Shopping Centre, 101 Sau Ming Road, Sau Mau Ping, Kwun Tong, Kowloon",Kwun Tong,22.317989406755,114.23477094293,2.2,OPEN,https://www.linkhk.com/en/parking/6602,5487 7944
tdc14p6604,Sau Mau Ping Phase 3 Car Park,"Sau Mau Ping (III) Estate Retail and Car Park, Sau Ming Road, Sau Mau Ping, Kwun Tong, Kowloon",Kwun Tong,22.322115517104,114.2306351066,2.2,OPEN,https://www.linkhk.com/en/parking/6604,5487 7944
tdc14p6605,Po Tat Car Park A,"Po Tat Shopping Centre, 2 Po Lam Road, Sau Mau Ping, Kwun Tong, Kowloon",Kwun Tong,22.317872,114.236143,2.4,OPEN,https://www.linkhk.com/en/parking/6605,5487 7944
tdc14p6606,Po Tat Car Park B and C,"Po Tat Shopping Centre, 2 Po Lam Road, Sau Mau Ping, Kwun Tong, Kowloon",Kwun Tong,22.316662271225,114.23770010117,2.4,OPEN,https://www.linkhk.com/en/parking/6606,5487 7944
tdc14p6607,Hiu Lai Car Park,"Hiu Lai Shopping Centre, 21 Hiu Kwong Street, Kwun Tong, Kowloon",Kwun Tong,22.320839540717,114.22945125948,2.2,OPEN,https://www.linkhk.com/en/parking/6607,5487 7944
tdc14p6608,Cheung Fat Car Park,"Cheung Fat Plaza, 6 Tam Kon Shan Road, Tsing Yi, New Territories",Kwai Tsing,22.362480587724,114.10329164544,1.9,OPEN,https://www.linkhk.com/en/parking/6608,2117 7076
tdc14p6610,Cheung On Phase 1 Car Park,"Cheung On Estate Retail and Car Park, 1 Tam Kon Shan Road, Tsing Yi, New Territories",Kwai Tsing,22.361,114.101831,2.25,OPEN,https://www.linkhk.com/en/parking/6610,2117 7076
tdc14p6611,Cheung On Phase 2 Car Park,"Cheung On Estate Retail and Car Park, 1 Tam Kon Shan Road, Tsing Yi, New Territories",Kwai Tsing,22.360484,114.104416,1.9,OPEN,https://www.linkhk.com/en/parking/6611,2117 7076
tdc14p6620,Ching Wah Car Park,"Ching Wah Court Retail and Car Park, 22 Tsing Chin Street, Tsing Yi, New Territories",Kwai Tsing,22.349081,114.099421,2,OPEN,https://www.linkhk.com/en/parking/6620,2117 7076
tdc14p6639,Lok Wah South Car Park,"Lok Wah (South) Estate Retail and Car Park, 70 Chun Wah Road, Ngau Tau Kwok, Kwun Tong, Kowloon",Kwun Tong,22.320472785448,114.22074394572,2,OPEN,https://www.linkhk.com/en/parking/6639,5487 7944
tdc14p6640,Lok Wah North Car Park A,"Lok Wah Commercial Centre, 70 Chun Wah Road, Ngau Tau Kwok, Kwun Tong, Kowloon",Kwun Tong,22.321666438091,114.2198968135,2,OPEN,https://www.linkhk.com/en/parking/6640,5487 7944
tdc14p6641,Lok Wah North Car Park B,"Lok Wah Commercial Centre, 70 Chun Wah Road, Ngau Tau Kwok, Kwun Tong, Kowloon",Kwun Tong,22.322172634147,114.21993174565,2,OPEN,https://www.linkhk.com/en/parking/6641,5487 7944
tdc14p6645,Cheung Wang Car Park,"Cheung Wang Estate Retail and Car Park, 9 Liu To Road, Tsing Yi, New Territories",Kwai Tsing,22.357145795244,114.09564217616,2.4,OPEN,https://www.linkhk.com/en/parking/6645,
tdc14p6728,Yat Tung Car Park 2 & 3 (Sin Yat),"Yat Tung Shopping Centre, 8 Yat Tung Street, Tung Chung, New Territories",Islands,22.28116,113.935776,2.2,OPEN,https://www.linkhk.com/en/parking/6728,2117 7076
tdc14p6729,Yat Tung Car Park 1,"Yat Tung Shopping Centre, 8 Yat Tung Street, Tung Chung, New Territories",Islands,22.281096,113.938628,2.4,OPEN,https://www.linkhk.com/en/parking/6729,2117 7076
tdc14p6730,Fu Tung Car Park A,"Fu Tung Plaza, 6 Fu Tung Street, Tung Chung, New Territories",Islands,22.286571,113.942254,2,OPEN,https://www.linkhk.com/en/parking/6730,2117 7076
tdc14p7542,Tsui Ping North Car Park 1,"Tsui Ping North Shopping Circuit, 18 Tsui Ping Road, Kwun Tong, Kowloon",Kwun Tong,22.313235586052,114.22910608772,2,OPEN,https://www.linkhk.com/en/parking/7542,5487 7944
tdc14p7622,Tsz Wan Shan SC Car Park A,"Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan, Kowloon",Wong Tai Sin,22.347704234253,114.20094965397,2,OPEN,https://www.linkhk.com/en/parking/7622,5487 7944
tdc14p7623,Tsz Oi Car Park,"Tsz Oi Court Retail and Car Park, 2 Wan Wah Street, Tsz Wan Shan, Kowloon",Wong Tai Sin,22.34940056639,114.19961551833,2.2,OPEN,https://www.linkhk.com/en/parking/7624,5487 7944
tdc14p7629,Fung Tak Car Park A,"Fung Tak Shopping Centre, 111 Fung Tak Road, Diamond Hill, Kowloon",Wong Tai Sin,22.344290245857,114.20117303884,2,OPEN,https://www.linkhk.com/en/parking/7629,5487 7944
tdc14p7632,Tsz Wan Shan SC Car Park B,"Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan, Kowloon",Wong Tai Sin,22.348862523889,114.19928590156,2.4,OPEN,https://www.linkhk.com/en/parking/7632,5487 7944
tdc14p7633,Tsz Wan Shan SC Car Park C,"Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan, Kowloon",Wong Tai Sin,22.346818699656,114.19917174993,2.4,OPEN,https://www.linkhk.com/en/parking/7633,5487 7944
tdc14p7636,Tsz Wan Shan SC Car Park D,"Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan, Kowloon",Wong Tai Sin,22.346301650534,114.19975263704,2.1,OPEN,https://www.linkhk.com/en/parking/7636,5487 7944
tdc14p7732,Choi Wan Car Park A,"Choi Wan Commercial Complex, 45 Clear Water Bay Road, Ngau Chi Wan, Kowloon",Wong Tai Sin,22.332826093154,114.21453752991,2,OPEN,https://www.linkhk.com/en/parking/7732,5487 7944
tdc14p7733,Choi Wan Car Park B & C,"Choi Wan Commercial Complex, 45 Clear Water Bay Road, Ngau Chi Wan, Kowloon",Wong Tai Sin,22.334345251646,114.21422287487,2,OPEN,https://www.linkhk.com/en/parking/7733,5487 7944
tdc14p7737,Shun Lee (Jordan Valley Park) Car Park,"Shun Lee Commercial Centre, 15 Lee On Road, Kwun Tong, Kowloon",Kwun Tong,22.333161497117,114.22462598533,1.8,OPEN,https://www.linkhk.com/en/parking/7737,5487 7944
tdc14p7739,Shun Lee Fresh Market Car Park,"Shun Lee Commercial Centre, 15 Lee On Road, Kwun Tong, Kowloon",Kwun Tong,22.331751217321,114.22535541757,1.9,OPEN,https://www.linkhk.com/en/parking/7739,5487 7944
tdc14p7740,Shun Lee (Shopping Centre) Car Park,"Shun Lee Commercial Centre, 15 Lee On Road, Kwun Tong, Kowloon",Kwun Tong,22.33008,114.226715,1.9,OPEN,https://www.linkhk.com/en/parking/7740,5487 7944
